일련번호,주소,동,층,호수,동호수,전체주소,면적,지목,소유자명,주민번호,성별,연령대,소유형태,지분,소유자주소,거주투자구분,투자자거주지역,등기원인,등기일자,접수번호,근저당권유무,대출총액,근저당권자,근저당설정일,근저당접수번호,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
133,서울시 용산구 이태원동 22-2,2동,6,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,장순자,681207-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동104호,실거주,-,상속,2021-07-14,제15597호,N,0,,,,N,,,,
134,서울시 용산구 이태원동 22-2,2동,6,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,조영자,570424-2******,여성,60대,공유자,2분의 1,서울시 서초구 삼성동 69-73,투자 목적,서울,상속,2010-09-26,제55545호,Y,583840000,신한은행,2011-12-20,제79763호,N,,,,
135,서울시 용산구 이태원동 22-2,2동,6,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,장서준,790821-2******,여성,40대,단독소유,단독소유,서울시 송파구 역삼동 929-68,투자 목적,서울,매매,2014-11-15,제72794호,N,0,,,,N,,,,
136,서울시 용산구 이태원동 22-2,2동,6,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,김하준,730916-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동107호,실거주,-,증여,2010-07-01,제65804호,Y,957740000,기업은행,2016-04-25,제23960호,N,,,,
137,서울시 용산구 이태원동 22-2,2동,6,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,임지호,771009-1******,남성,40대,단독소유,단독소유,서울시 송파구 역삼동 201-68,투자 목적,서울,증여,2008-02-11,제4716호,Y,388780000,우리은행,2019-01-17,제46386호,N,,,,
138,서울시 용산구 이태원동 22-2,2동,6,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,최순자,600609-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동109호,실거주,-,증여,2006-05-02,제38475호,N,0,,,,N,,,,
139,서울시 용산구 이태원동 22-2,2동,7,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,최서연,460807-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동101호,실거주,-,경매,2008-07-23,제26070호,Y,252850000,기업은행,2020-11-01,제80698호,N,,,,
140,서울시 용산구 이태원동 22-2,2동,7,102호,2동102호,서울시 중랑구 면목동 110-1 청하아파트 2동102호,185,대,최예준,591114-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동102호,실거주,-,매매,2019-07-24,제18915호,N,0,,,,N,,,,
141,서울시 용산구 이태원동 22-2,2동,7,103호,2동103호,서울시 중랑구 면목동 110-1 청하아파트 2동103호,185,대,조시우,471007-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동103호,실거주,-,증여,2004-06-01,제32749호,Y,722250000,신한은행,2020-10-01,제46972호,N,,,,
142,서울시 용산구 이태원동 22-2,2동,7,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,임영자,620501-2******,여성,60대,단독소유,단독소유,경기도 고양시 분당구 정자동 378-46,투자 목적,경기,증여,2006-12-28,제16780호,Y,183220000,우리은행,2014-04-02,제89662호,N,,,,
143,서울시 용산구 이태원동 22-2,2동,7,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,박하준,550906-2******,여성,60대,공유자,3분의 1,서울시 서초구 삼성동 54-40,투자 목적,서울,증여,2021-01-25,제99015호,Y,389390000,신한은행,2022-02-06,제55571호,N,,,,
144,서울시 용산구 이태원동 22-2,2동,7,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,조주원,581214-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동106호,실거주,-,경매,2013-04-10,제28240호,Y,550110000,신한은행,2012-12-01,제73177호,N,,,,
145,서울시 용산구 이태원동 22-2,2동,7,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,강영자,680225-1******,남성,50대,단독소유,단독소유,서울시 송파구 삼성동 476-94,투자 목적,서울,증여,2016-12-06,제81572호,Y,489100000,신한은행,2012-11-06,제53671호,N,,,,
146,서울시 용산구 이태원동 22-2,2동,7,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,김서연,630119-2******,여성,60대,단독소유,단독소유,강원도 춘천시 퇴계동 630-58,투자 목적,강원,증여,2007-05-09,제32022호,Y,582910000,국민은행,2021-06-30,제64306호,Y,압류,2023-12-14,제90733호,국
147,서울시 용산구 이태원동 22-2,2동,7,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,김서연,570606-2******,여성,60대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 2동109호,실거주,-,매매,2023-06-19,제39436호,Y,171720000,국민은행,2024-06-14,제9966호,N,,,,
148,서울시 용산구 이태원동 22-2,2동,8,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,임예준,590101-1******,남성,60대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 2동101호,실거주,-,상속,2012-08-20,제74864호,Y,953490000,신한은행,2023-11-18,제33950호,N,,,,
149,서울시 용산구 이태원동 22-2,2동,8,102호,2동102호,서울시 중랑구 면목동 110-1 청하아파트 2동102호,185,대,정민준,821219-2******,여성,40대,단독소유,단독소유,서울시 서초구 삼성동 580-4,투자 목적,서울,경매,2017-10-20,제37066호,N,0,,,,N,,,,
150,서울시 용산구 이태원동 22-2,2동,8,103호,2동103호,서울시 중랑구 면목동 110-1 청하아파트 2동103호,185,대,임영희,381020-1******,남성,80대,단독소유,단독소유,서울시 서초구 역삼동 170-8,투자 목적,서울,매매,2017-02-06,제81489호,Y,459700000,우리은행,2023-08-26,제27530호,N,,,,
151,서울시 용산구 이태원동 22-2,2동,8,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,이도윤,710823-2******,여성,50대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 2동104호,실거주,-,경매,2016-09-27,제61700호,Y,615810000,하나은행,2013-02-25,제30994호,N,,,,
152,서울시 용산구 이태원동 22-2,2동,8,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,윤서연,500323-1******,남성,70대,단독소유,단독소유,경기도 고양시 분당구 정자동 10-18,투자 목적,경기,증여,2016-06-09,제78596호,N,0,,,,N,,,,
153,서울시 용산구 이태원동 22-2,2동,8,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,장서연,590310-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동106호,실거주,-,상속,2019-01-12,제71333호,Y,472410000,기업은행,2013-03-10,제83729호,N,,,,
154,서울시 용산구 이태원동 22-2,2동,8,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,조영희,710924-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동107호,실거주,-,증여,2021-04-02,제88471호,Y,809840000,하나은행,2014-04-14,제29276호,N,,,,
155,서울시 용산구 이태원동 22-2,2동,8,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,김민서,771125-1******,남성,40대,공유자,3분의 1,서울시 송파구 역삼동 767-59,투자 목적,서울,상속,2021-12-17,제46689호,N,0,,,,N,,,,
156,서울시 용산구 이태원동 22-2,2동,8,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,김영자,651207-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동109호,실거주,-,상속,2005-11-10,제92392호,N,0,,,,Y,압류,2025-05-20,제89403호,서울시
157,서울시 용산구 이태원동 22-2,2동,9,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,정서연,670323-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동101호,실거주,-,경매,2008-07-12,제43140호,N,0,,,,N,,,,
158,서울시 용산구 이태원동 22-2,2동,9,102호,2동102호,서울시 중랑구 면목동 110-1 청하아파트 2동102호,185,대,이도윤,691014-2******,여성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동102호,실거주,-,증여,2009-04-10,제7235호,Y,531700000,기업은행,2017-02-05,제73309호,N,,,,
159,서울시 용산구 이태원동 22-2,2동,9,103호,2동103호,서울시 중랑구 면목동 110-1 청하아파트 2동103호,185,대,임시우,831224-2******,여성,40대,단독소유,단독소유,서울시 서초구 역삼동 946-94,투자 목적,서울,매매,2008-05-03,제70408호,N,0,,,,Y,압류,2025-05-01,제45940호,국
160,서울시 용산구 이태원동 22-2,2동,9,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,이영희,601010-1******,남성,60대,단독소유,단독소유,서울시 강남구 삼성동 80-9,투자 목적,서울,매매,2004-09-04,제48396호,Y,179680000,우리은행,2021-10-04,제87114호,N,,,,
161,서울시 용산구 이태원동 22-2,2동,9,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,강영희,580405-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동105호,실거주,-,매매,2012-10-15,제72892호,Y,489330000,기업은행,2020-12-10,제86961호,N,,,,
162,서울시 용산구 이태원동 22-2,2동,9,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,장하준,610428-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동106호,실거주,-,매매,2011-12-18,제83946호,N,0,,,,N,,,,
163,서울시 용산구 이태원동 22-2,2동,9,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,최순자,620418-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동107호,실거주,-,상속,2008-05-05,제9519호,Y,849310000,기업은행,2023-03-17,제5219호,N,,,,
164,서울시 용산구 이태원동 22-2,2동,9,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,김지호,890717-2******,여성,30대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동108호,실거주,-,경매,2010-08-01,제95801호,Y,266720000,우리은행,2015-11-20,제51939호,N,,,,
165,서울시 용산구 이태원동 22-2,2동,9,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,정민서,690919-1******,남성,50대,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 2동109호,실거주,-,상속,2005-05-24,제39757호,Y,174050000,우리은행,2021-05-11,제74450호,N,,,,
166,서울시 용산구 이태원동 22-2,2동,10,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,임하준,520101-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동101호,실거주,-,경매,2020-01-18,제78552호,Y,412060000,기업은행,2015-05-18,제54405호,N,,,,
167,서울시 용산구 이태원동 22-2,2동,10,102호,2동102호,서울시 중랑구 면목동 110-1 청하아파트 2동102호,185,대,장순자,790122-1******,남성,40대,단독소유,단독소유,서울시 송파구 역삼동 968-48,투자 목적,서울,증여,2010-03-01,제25150호,Y,515090000,국민은행,2013-10-24,제95213호,N,,,,
168,서울시 용산구 이태원동 22-2,2동,10,103호,2동103호,서울시 중랑구 면목동 110-1 청하아파트 2동103호,185,대,강순자,430414-2******,여성,80대,단독소유,단독소유,"7572 Main St, Los Angeles, CA, USA",투자 목적,미국,증여,2014-04-06,제95848호,Y,109350000,국민은행,2018-11-25,제8205호,N,,,,
169,서울시 용산구 이태원동 22-2,2동,10,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,임예준,520527-1******,남성,70대,단독소유,단독소유,서울시 강남구 역삼동 999-43,투자 목적,서울,매매,2007-12-17,제79905호,Y,944160000,신한은행,2017-01-13,제37397호,N,,,,
170,서울시 용산구 이태원동 22-2,2동,10,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,이예준,721120-1******,남성,50대,단독소유,단독소유,서울시 서초구 삼성동 282-69,투자 목적,서울,경매,2019-05-27,제56773호,N,0,,,,N,,,,
171,서울시 용산구 이태원동 22-2,2동,10,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,이순자,520328-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동106호,실거주,-,경매,2007-04-19,제72144호,Y,628350000,하나은행,2022-08-04,제75149호,N,,,,
172,서울시 용산구 이태원동 22-2,2동,10,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,윤영희,551228-2******,여성,60대,단독소유,단독소유,서울시 강남구 역삼동 233-96,투자 목적,서울,상속,2011-04-13,제32300호,N,0,,,,N,,,,
173,서울시 용산구 이태원동 22-2,2동,10,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,조도윤,550806-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동108호,실거주,-,증여,2020-03-01,제14006호,Y,523430000,국민은행,2022-05-13,제73029호,N,,,,
174,서울시 용산구 이태원동 22-2,2동,10,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,조민서,600825-1******,남성,60대,단독소유,단독소유,서울시 강남구 삼성동 726-44,투자 목적,서울,매매,2014-11-18,제46131호,N,0,,,,Y,가압류,2025-02-10,제24273호,서울시
175,서울시 용산구 이태원동 22-2,2동,11,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,윤영희,820622-2******,여성,40대,공유자,2분의 1,"2443 Main St, Los Angeles, CA, USA",투자 목적,미국,경매,2009-01-10,제22822호,N,0,,,,N,,,,
176,서울시 용산구 이태원동 22-2,2동,11,102호,2동102호,서울시 중랑구 면목동 110-1 청하아파트 2동102호,185,대,김민서,550806-1******,남성,60대,단독소유,단독소유,인천시 연수구 송도동 387-18,투자 목적,인천,증여,2015-03-22,제31429호,N,0,,,,N,,,,
177,서울시 용산구 이태원동 22-2,2동,11,103호,2동103호,서울시 중랑구 면목동 110-1 청하아파트 2동103호,185,대,장민준,860220-1******,남성,30대,단독소유,단독소유,서울시 강남구 역삼동 57-45,투자 목적,서울,경매,2021-11-03,제88596호,N,0,,,,N,,,,
178,서울시 용산구 이태원동 22-2,2동,11,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,조예준,520118-1******,남성,70대,단독소유,단독소유,서울시 강남구 역삼동 268-98,투자 목적,서울,증여,2004-01-03,제72488호,Y,385370000,우리은행,2011-01-09,제34440호,N,,,,
179,서울시 용산구 이태원동 22-2,2동,11,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,김민준,771019-2******,여성,40대,공유자,3분의 1,서울시 송파구 역삼동 247-85,투자 목적,서울,증여,2020-09-25,제46900호,Y,301270000,기업은행,2014-02-02,제89225호,N,,,,
180,서울시 용산구 이태원동 22-2,2동,11,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,윤서연,600203-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동106호,실거주,-,증여,2017-04-09,제56215호,N,0,,,,N,,,,
181,서울시 용산구 이태원동 22-2,2동,11,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,임주원,460619-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동107호,실거주,-,매매,2015-04-25,제61757호,N,0,,,,N,,,,
182,서울시 용산구 이태원동 22-2,2동,11,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,박순자,591116-2******,여성,60대,단독소유,단독소유,대전시 유성구 봉명동 363-91,투자 목적,대전,매매,2010-10-02,제32874호,Y,716090000,신한은행,2024-08-22,제31946호,N,,,,
183,서울시 용산구 이태원동 22-2,2동,11,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,윤민서,450301-1******,남성,70대,단독소유,단독소유,서울시 서초구 삼성동 400-59,투자 목적,서울,증여,2018-10-18,제66382호,Y,898040000,우리은행,2022-01-31,제23866호,N,,,,
184,서울시 용산구 이태원동 22-2,2동,12,101호,2동101호,서울시 중랑구 면목동 110-1 청하아파트 2동101호,185,대,강영희,530927-1******,남성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동101호,실거주,-,매매,2017-04-09,제84235호,N,0,,,,N,,,,
185,서울시 용산구 이태원동 22-2,2동,12,102호,2동102호,서울시 중랑구 면목동 110-1 청하아파트 2동102호,185,대,임하준,640605-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동102호,실거주,-,경매,2022-08-25,제68497호,Y,345720000,신한은행,2014-07-21,제16311호,N,,,,
186,서울시 용산구 이태원동 22-2,2동,12,103호,2동103호,서울시 중랑구 면목동 110-1 청하아파트 2동103호,185,대,이서연,580324-2******,여성,60대,단독소유,단독소유,대구시 수성구 범어동 598-38,투자 목적,대구,경매,2006-09-26,제78133호,N,0,,,,N,,,,
187,서울시 용산구 이태원동 22-2,2동,12,104호,2동104호,서울시 중랑구 면목동 110-1 청하아파트 2동104호,185,대,최하준,750525-2******,여성,40대,단독소유,단독소유,서울시 송파구 역삼동 172-47,투자 목적,서울,증여,2020-12-04,제81241호,Y,512400000,기업은행,2017-05-12,제50080호,N,,,,
188,서울시 용산구 이태원동 22-2,2동,12,105호,2동105호,서울시 중랑구 면목동 110-1 청하아파트 2동105호,185,대,임도윤,671024-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동105호,실거주,-,경매,2007-07-25,제73086호,Y,345030000,하나은행,2022-08-02,제67058호,N,,,,
189,서울시 용산구 이태원동 22-2,2동,12,106호,2동106호,서울시 중랑구 면목동 110-1 청하아파트 2동106호,185,대,임영자,500109-2******,여성,70대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동106호,실거주,-,경매,2010-01-07,제94843호,Y,616720000,기업은행,2020-04-06,제45203호,N,,,,
190,서울시 용산구 이태원동 22-2,2동,12,107호,2동107호,서울시 중랑구 면목동 110-1 청하아파트 2동107호,185,대,임예준,570211-2******,여성,60대,단독소유,단독소유,서울시 송파구 역삼동 984-49,투자 목적,서울,매매,2004-06-07,제74165호,N,0,,,,N,,,,
191,서울시 용산구 이태원동 22-2,2동,12,108호,2동108호,서울시 중랑구 면목동 110-1 청하아파트 2동108호,185,대,김영자,720301-1******,남성,50대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 2동108호,실거주,-,증여,2023-08-05,제45570호,Y,427030000,하나은행,2019-11-15,제91198호,N,,,,
192,서울시 용산구 이태원동 22-2,2동,12,109호,2동109호,서울시 중랑구 면목동 110-1 청하아파트 2동109호,185,대,주식회사 한빛,사업자 232-55-69730,법인,법인,공유자,3분의 1,서울시 중랑구 면목동 110-1 청하아파트 2동109호,실거주,-,상속,2022-11-11,제25632호,N,0,,,,N,,,,
193,서울시 용산구 이태원동 22-2,3동,1,101호,3동101호,서울시 중랑구 면목동 110-1 청하아파트 3동101호,154,대,김순자,571012-2******,여성,60대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 3동101호,실거주,-,매매,2011-10-27,제66488호,Y,133810000,신한은행,2024-01-27,제94733호,N,,,,
194,서울시 용산구 이태원동 22-2,3동,1,102호,3동102호,서울시 중랑구 면목동 110-1 청하아파트 3동102호,154,대,장예준,610115-1******,남성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 3동102호,실거주,-,경매,1983-06-26,제6939호,N,0,,,,N,,,,
195,서울시 용산구 이태원동 22-2,3동,1,103호,3동103호,서울시 중랑구 면목동 110-1 청하아파트 3동103호,154,대,최도윤,410522-2******,여성,80대,단독소유,단독소유,서울시 강남구 삼성동 297-58,투자 목적,서울,상속,1983-08-08,제54038호,Y,599710000,하나은행,2017-04-19,제98885호,N,,,,
196,서울시 용산구 이태원동 22-2,3동,1,104호,3동104호,서울시 중랑구 면목동 110-1 청하아파트 3동104호,154,대,박서준,640215-1******,남성,60대,단독소유,단독소유,서울시 강남구 역삼동 12-87,투자 목적,서울,증여,2017-03-15,제57747호,Y,418300000,국민은행,2021-01-09,제35611호,N,,,,
197,서울시 용산구 이태원동 22-2,3동,1,105호,3동105호,서울시 중랑구 면목동 110-1 청하아파트 3동105호,154,대,최영자,741008-2******,여성,50대,단독소유,단독소유,서울시 송파구 역삼동 288-4,투자 목적,서울,경매,2012-05-15,제9157호,N,0,,,,N,,,,
198,서울시 용산구 이태원동 22-2,3동,2,101호,3동101호,서울시 중랑구 면목동 110-1 청하아파트 3동101호,154,대,윤지호,800822-2******,여성,40대,단독소유,단독소유,경기도 고양시 분당구 정자동 248-57,투자 목적,경기,증여,2017-09-01,제22561호,Y,550450000,기업은행,2020-06-03,제92449호,N,,,,
199,서울시 용산구 이태원동 22-2,3동,2,102호,3동102호,서울시 중랑구 면목동 110-1 청하아파트 3동102호,154,대,최지호,510513-1******,남성,70대,공유자,3분의 1,경기도 성남시 분당구 정자동 61-25,투자 목적,경기,증여,2024-11-24,제32694호,Y,180520000,기업은행,2018-03-26,제59173호,N,,,,
200,서울시 용산구 이태원동 22-2,3동,2,103호,3동103호,서울시 중랑구 면목동 110-1 청하아파트 3동103호,154,대,김하준,821010-2******,여성,40대,단독소유,단독소유,서울시 서초구 삼성동 810-13,투자 목적,서울,매매,2004-09-04,제85030호,Y,762730000,하나은행,2012-03-15,제87052호,N,,,,
201,서울시 용산구 이태원동 22-2,3동,2,104호,3동104호,서울시 중랑구 면목동 110-1 청하아파트 3동104호,154,대,윤민준,500220-1******,남성,70대,단독소유,단독소유,충청남도 천안시 불당동 331-66,투자 목적,충남,증여,2024-01-04,제78072호,Y,666450000,기업은행,2021-11-19,제97744호,N,,,,
202,서울시 용산구 이태원동 22-2,3동,2,105호,3동105호,서울시 중랑구 면목동 110-1 청하아파트 3동105호,154,대,윤도윤,571226-1******,남성,60대,공유자,2분의 1,서울시 중랑구 면목동 110-1 청하아파트 3동105호,실거주,-,매매,2016-06-12,제62905호,Y,894220000,신한은행,2017-05-18,제19522호,N,,,,
203,서울시 용산구 이태원동 22-2,3동,3,101호,3동101호,서울시 중랑구 면목동 110-1 청하아파트 3동101호,154,대,이지호,611113-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 3동101호,실거주,-,매매,2014-08-04,제13164호,N,0,,,,N,,,,
204,서울시 용산구 이태원동 22-2,3동,3,102호,3동102호,서울시 중랑구 면목동 110-1 청하아파트 3동102호,154,대,박영희,610506-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 3동102호,실거주,-,매매,1983-02-28,제7859호,Y,154680000,신한은행,2016-03-20,제63940호,N,,,,
205,서울시 용산구 이태원동 22-2,3동,3,103호,3동103호,서울시 중랑구 면목동 110-1 청하아파트 3동103호,154,대,강민서,820410-1******,남성,40대,단독소유,단독소유,서울시 서초구 삼성동 416-69,투자 목적,서울,상속,2022-05-24,제85855호,Y,809220000,우리은행,2011-10-03,제89066호,N,,,,
206,서울시 용산구 이태원동 22-2,3동,3,104호,3동104호,서울시 중랑구 면목동 110-1 청하아파트 3동104호,154,대,최주원,******-*******,남성,미분류,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 3동104호,실거주,-,상속,2006-11-20,제10022호,Y,622590000,하나은행,2011-01-29,제45666호,N,,,,
207,서울시 용산구 이태원동 22-2,3동,3,105호,3동105호,서울시 중랑구 면목동 110-1 청하아파트 3동105호,154,대,임영자,700417-1******,남성,50대,단독소유,단독소유,서울시 송파구 삼성동 758-59,투자 목적,서울,경매,2003-08-11,제16016호,Y,248570000,우리은행,2011-11-16,제26816호,N,,,,
208,서울시 용산구 이태원동 22-2,3동,4,101호,3동101호,서울시 중랑구 면목동 110-1 청하아파트 3동101호,154,대,임지호,740103-1******,남성,50대,공유자,2분의 1,경기도 고양시 분당구 정자동 642-62,투자 목적,경기,매매,2016-07-17,제88391호,N,0,,,,N,,,,
209,서울시 용산구 이태원동 22-2,3동,4,102호,3동102호,서울시 중랑구 면목동 110-1 청하아파트 3동102호,154,대,정순자,611201-1******,남성,60대,공유자,2분의 1,경기도 고양시 분당구 정자동 684-34,투자 목적,경기,상속,1983-12-16,제13253호,Y,834620000,국민은행,2012-12-27,제38373호,N,,,,
210,서울시 용산구 이태원동 22-2,3동,4,103호,3동103호,서울시 중랑구 면목동 110-1 청하아파트 3동103호,154,대,김주원,260718-2******,여성,90대,단독소유,단독소유,서울시 서초구 삼성동 969-14,투자 목적,서울,증여,2020-07-15,제41008호,Y,967430000,국민은행,2023-10-20,제17332호,N,,,,
211,서울시 용산구 이태원동 22-2,3동,4,104호,3동104호,서울시 중랑구 면목동 110-1 청하아파트 3동104호,154,대,윤서준,560124-2******,여성,60대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 3동104호,실거주,-,경매,2020-03-14,제7414호,N,0,,,,N,,,,
212,서울시 용산구 이태원동 22-2,3동,4,105호,3동105호,서울시 중랑구 면목동 110-1 청하아파트 3동105호,154,대,정지호,660117-2******,여성,50대,공유자,3분의 1,경기도 성남시 분당구 정자동 638-9,투자 목적,경기,상속,2024-09-06,제3487호,N,0,,,,Y,압류,2025-03-25,제63599호,국
213,서울시 용산구 이태원동 22-2,3동,5,101호,3동101호,서울시 중랑구 면목동 110-1 청하아파트 3동101호,154,대,강하준,750303-2******,여성,40대,공유자,3분의 1,서울시 서초구 역삼동 935-12,투자 목적,서울,매매,2016-04-06,제98649호,N,0,,,,N,,,,
214,서울시 용산구 이태원동 22-2,3동,5,102호,3동102호,서울시 중랑구 면목동 110-1 청하아파트 3동102호,154,대,이예준,280328-2******,여성,90대,단독소유,단독소유,서울시 강남구 삼성동 745-2,투자 목적,서울,경매,2009-01-17,제59904호,Y,314350000,하나은행,2012-12-15,제33340호,N,,,,
215,서울시 용산구 이태원동 22-2,3동,5,103호,3동103호,서울시 중랑구 면목동 110-1 청하아파트 3동103호,154,대,장시우,760412-2******,여성,40대,단독소유,단독소유,서울시 중랑구 면목동 110-1 청하아파트 3동103호,실거주,-,경매,2014-07-17,제75043호,N,0,,,,N,,,,
216,서울시 용산구 이태원동 22-2,3동,5,104호,3동104호,서울시 중랑구 면목동 110-1 청하아파트 3동104호,154,대,강예준,410427-1******,남성,80대,단독소유,단독소유,서울시 송파구 삼성동 649-6,투자 목적,서울,상속,2018-01-10,제23008호,Y,182970000,하나은행,2021-09-06,제72540호,N,,,,
217,서울시 용산구 이태원동 22-2,3동,5,105호,3동105호,서울시 중랑구 면목동 110-1 청하아파트 3동105호,154,대,장시우,750509-2******,여성,40대,단독소유,단독소유,서울시 강남구 역삼동 596-62,투자 목적,서울,상속,2023-06-04,제41670호,Y,832810000,하나은행,2024-06-05,제40540호,N,,,,
218,서울시 용산구 이태원동 22-2,3동,6,101호,3동101호,서울시 중랑구 면목동 110-1 청하아파트 3동101호,154,대,김영자,440708-1******,남성,80대,공유자,3분의 1,대전시 유성구 봉명동 710-69,투자 목적,대전,경매,2018-01-26,제90695호,N,0,,,,N,,,,
