순번,소재지,건물명,건축연도,경과년수,전용면적_제곱미터,대지면적_제곱미터,대지권비율,실질대지지분_제곱미터,현소유자,주민번호,현주소,소유권취득일,보유기간_년,이전사유,근저당1_설정일,근저당1_채권최고액,근저당1_채무자,근저당1_근저당권자,근저당2_설정일,근저당2_채권최고액,근저당2_채무자,근저당2_근저당권자,유효근저당총액,유효근저당건수,소유권이전횟수,실거주여부,압류가압류유무,압류구분,압류일자,압류접수번호,압류권리자
91,서울시 영등포구 여의도동 41,대교아파트 1동 807호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임지민,861208-1******,"서울시 영등포구 여의도동 41, 101동 807호",2016-06-02,9,매매,2018년02월15일,175270000,임지민,KB국민은행,,,,,175270000,1,3,실거주 추정,N,,,,
92,서울시 영등포구 여의도동 41,대교아파트 1동 808호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,최수진,050825-4******,서울시 동대문구 답십리동 768-76,2023-05-24,2,상속,2017년07월14일,1825870000,최수진,주식회사등본은행,,,,,1825870000,1,3,세입자 가능성,N,,,,
93,서울시 영등포구 여의도동 41,대교아파트 1동 809호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,김수진,670226-1******,"서울시 영등포구 여의도동 41, 101동 809호",2011-11-06,13,상속,2020년11월08일,147520000,김수진,주식회사하나은행,,,,,147520000,1,3,실거주 추정,N,,,,
94,서울시 영등포구 여의도동 41,대교아파트 1동 810호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,정도윤,030720-4******,"서울시 영등포구 여의도동 41, 101동 810호",2019-06-04,6,매매,2019년03월22일,107380000,정도윤,주식회사한솔은행,,,,,107380000,1,0,실거주 추정,N,,,,
95,서울시 영등포구 여의도동 41,대교아파트 1동 811호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신보미,040313-4******,"서울시 영등포구 여의도동 41, 101동 811호",2019-10-20,5,매매,,0,신보미,,,,,,0,,5,실거주 추정,N,,,,
96,서울시 영등포구 여의도동 41,대교아파트 1동 812호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,정용하,960311-1******,"서울시 영등포구 여의도동 41, 101동 812호",2012-02-11,13,상속,2018년06월22일,693140000,정용하,주식회사국민은행,,,,,693140000,1,5,실거주 추정,N,,,,
97,서울시 영등포구 여의도동 41,대교아파트 1동 901호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서서연,050905-3******,"서울시 영등포구 여의도동 41, 101동 901호",2010-07-02,15,증여,,0,서서연,,,,,,0,,0,실거주 추정,Y,압류,2023년02월12일,제73692호,서울중앙지방법원
98,서울시 영등포구 여의도동 41,대교아파트 1동 902호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,박수진,650305-1******,"서울시 영등포구 여의도동 41, 101동 902호",2017-02-11,8,매매,,0,박수진,,,,,,0,,3,실거주 추정,N,,,,
99,서울시 영등포구 여의도동 41,대교아파트 1동 903호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이진혁,030213-4******,서울시 성동구 응봉동 985-34,2015-08-30,10,매매,2012년02월02일,919660000,이진혁,주식회사국민은행,,,,,919660000,1,0,세입자 가능성,N,,,,
100,서울시 영등포구 여의도동 41,대교아파트 1동 904호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,송진혁,591109-2******,"서울시 영등포구 여의도동 41, 101동 904호",2016-05-07,9,증여,2018년05월06일,668700000,송진혁,주식회사등본은행,,,,,668700000,1,4,실거주 추정,N,,,,
101,서울시 영등포구 여의도동 41,대교아파트 1동 905호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오준서,620608-2******,"서울시 영등포구 여의도동 41, 101동 905호",2020-04-09,5,증여,2023년02월09일,963470000,오준서,주식회사한솔은행,,,,,963470000,1,0,실거주 추정,N,,,,
102,서울시 영등포구 여의도동 41,대교아파트 1동 906호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권현우,040521-4******,"서울시 영등포구 여의도동 41, 101동 906호",2018-10-09,7,매매,,0,권현우,,,,,,0,,3,실거주 추정,N,,,,
103,서울시 영등포구 여의도동 41,대교아파트 1동 907호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서영희,050826-4******,서울시 중구 충무로 141-34,2009-08-30,16,매매,2021년08월30일,574790000,서영희,주식회사한솔은행,,,,,574790000,1,1,세입자 가능성,N,,,,
104,서울시 영등포구 여의도동 41,대교아파트 1동 908호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,정상훈,931013-1******,"서울시 영등포구 여의도동 41, 101동 908호",2010-09-07,15,상속,2012년04월07일,1129480000,정상훈,주식회사통합은행,,,,,1129480000,1,2,실거주 추정,N,,,,
105,서울시 영등포구 여의도동 41,대교아파트 1동 909호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,장시우,040507-3******,"서울시 영등포구 여의도동 41, 101동 909호",2023-02-13,2,상속,2018년02월25일,163030000,장시우,주식회사한솔은행,,,,,163030000,1,3,실거주 추정,N,,,,
106,서울시 영등포구 여의도동 41,대교아파트 1동 910호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황기태,020815-3******,"서울시 영등포구 여의도동 41, 101동 910호",2012-08-29,13,매매,2021년12월21일,635560000,황기태,KB국민은행,,,,,635560000,1,2,실거주 추정,N,,,,
107,서울시 영등포구 여의도동 41,대교아파트 1동 911호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조철수,040609-3******,"서울시 영등포구 여의도동 41, 101동 911호",2010-08-03,15,매매,,0,조철수,,,,,,0,,1,실거주 추정,N,,,,
108,서울시 영등포구 여의도동 41,대교아파트 1동 912호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,류두산,000625-4******,"서울시 영등포구 여의도동 41, 101동 912호",2019-09-15,6,매매,2020년12월31일,468550000,류두산,주식회사하나은행,,,,,468550000,1,3,실거주 추정,N,,,,
109,서울시 영등포구 여의도동 41,대교아파트 1동 1001호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조철수,001009-3******,"서울시 영등포구 여의도동 41, 101동 1001호",2018-09-02,7,상속,2011년01월08일,710490000,조철수,주식회사농협은행,,,,,710490000,1,3,실거주 추정,N,,,,
110,서울시 영등포구 여의도동 41,대교아파트 1동 1002호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,정예준,050422-3******,"서울시 영등포구 여의도동 41, 101동 1002호",2024-09-22,1,증여,2021년03월11일,1975540000,정예준,주식회사통합은행,,,,,1975540000,1,0,실거주 추정,Y,가압류,2023년11월08일,제98286호,영등포세무서
111,서울시 영등포구 여의도동 41,대교아파트 1동 1003호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서준서,011228-3******,"서울시 영등포구 여의도동 41, 101동 1003호",2006-05-21,19,상속,2024년01월21일,1103210000,서준서,KB국민은행,,,,,1103210000,1,3,실거주 추정,N,,,,
112,서울시 영등포구 여의도동 41,대교아파트 1동 1004호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,박시우,050701-3******,"서울시 영등포구 여의도동 41, 101동 1004호",2008-08-07,17,증여,2014년04월02일,168960000,박시우,주식회사우리은행,,,,,168960000,1,5,실거주 추정,N,,,,
113,서울시 영등포구 여의도동 41,대교아파트 1동 1005호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오현우,501125-1******,"서울시 영등포구 여의도동 41, 101동 1005호",2009-04-11,16,매매,,0,오현우,,,,,,0,,0,실거주 추정,N,,,,
114,서울시 영등포구 여의도동 41,대교아파트 1동 1006호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황영수,991222-2******,서울시 노원구 하계동 65-56,2006-07-05,19,상속,2020년12월01일,889170000,황영수,주식회사명동은행,,,,,889170000,1,5,세입자 가능성,N,,,,
115,서울시 영등포구 여의도동 41,대교아파트 1동 1007호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임주원,000117-4******,"서울시 영등포구 여의도동 41, 101동 1007호",2024-09-05,1,증여,2011년09월08일,343090000,임주원,주식회사농협은행,,,,,343090000,1,4,실거주 추정,N,,,,
116,서울시 영등포구 여의도동 41,대교아파트 1동 1008호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,김예준,030618-4******,서울시 강서구 등촌동 907-14,2021-02-27,4,상속,2020년03월20일,771390000,김예준,주식회사하나은행,,,,,771390000,1,1,세입자 가능성,N,,,,
117,서울시 영등포구 여의도동 41,대교아파트 1동 1009호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,장지민,050113-4******,"서울시 영등포구 여의도동 41, 101동 1009호",2010-04-19,15,상속,2020년06월06일,1121670000,장지민,주식회사명동은행,,,,,1121670000,1,5,실거주 추정,N,,,,
118,서울시 영등포구 여의도동 41,대교아파트 1동 1010호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,강은서,041219-3******,"서울시 영등포구 여의도동 41, 101동 1010호",2016-09-16,9,증여,2022년09월05일,1167380000,강은서,주식회사명동은행,,,,,1167380000,1,5,실거주 추정,N,,,,
119,서울시 영등포구 여의도동 41,대교아파트 1동 1011호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권수빈,901127-1******,서울시 용산구 한남동 999-8,2012-03-05,13,상속,2015년04월03일,173810000,권수빈,주식회사국민은행,,,,,173810000,1,3,세입자 가능성,N,,,,
120,서울시 영등포구 여의도동 41,대교아파트 1동 1012호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권하은,040702-3******,서울시 구로구 신도림동 258-8,2015-02-13,10,상속,,0,권하은,,,,,,0,,3,세입자 가능성,N,,,,
121,서울시 영등포구 여의도동 41,대교아파트 1동 1101호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서상훈,610410-1******,"서울시 영등포구 여의도동 41, 101동 1101호",2010-04-11,15,상속,2013년02월11일,314860000,서상훈,주식회사등본은행,,,,,314860000,1,5,실거주 추정,N,,,,
122,서울시 영등포구 여의도동 41,대교아파트 1동 1102호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,오서연,940814-1******,서울시 중구 황학동 7-48,2011-09-09,14,증여,,0,오서연,,,,,,0,,2,세입자 가능성,N,,,,
123,서울시 영등포구 여의도동 41,대교아파트 1동 1103호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서보미,051024-4******,"서울시 영등포구 여의도동 41, 101동 1103호",2008-07-07,17,상속,2023년08월30일,103330000,서보미,주식회사명동은행,,,,,103330000,1,5,실거주 추정,N,,,,
124,서울시 영등포구 여의도동 41,대교아파트 1동 1104호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,한두산,010211-3******,"서울시 영등포구 여의도동 41, 101동 1104호",2013-06-13,12,증여,2010년12월19일,760930000,한두산,주식회사신한은행,,,,,760930000,1,5,실거주 추정,N,,,,
125,서울시 영등포구 여의도동 41,대교아파트 1동 1105호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황준서,030225-3******,"서울시 영등포구 여의도동 41, 101동 1105호",2019-04-19,6,상속,2012년05월06일,914800000,황준서,KB국민은행,,,,,914800000,1,5,실거주 추정,N,,,,
126,서울시 영등포구 여의도동 41,대교아파트 1동 1106호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍상훈,700821-1******,"서울시 영등포구 여의도동 41, 101동 1106호",2011-09-30,14,매매,2024년01월29일,899520000,홍상훈,주식회사명동은행,,,,,899520000,1,0,실거주 추정,N,,,,
127,서울시 영등포구 여의도동 41,대교아파트 1동 1107호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,류수진,051127-4******,서울시 성동구 응봉동 276-31,2013-11-06,11,매매,,0,류수진,,,,,,0,,4,세입자 가능성,Y,압류,2023년01월31일,제90283호,영등포세무서
128,서울시 영등포구 여의도동 41,대교아파트 1동 1108호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,박지우,820720-1******,"서울시 영등포구 여의도동 41, 101동 1108호",2011-01-27,14,매매,2020년09월11일,1686970000,박지우,주식회사신한은행,,,,,1686970000,1,5,실거주 추정,N,,,,
129,서울시 영등포구 여의도동 41,대교아파트 1동 1109호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,박상훈,050101-3******,"서울시 영등포구 여의도동 41, 101동 1109호",2014-09-07,11,증여,2011년02월01일,2454670000,박상훈,주식회사우리은행,,,,,2454670000,1,3,실거주 추정,N,,,,
130,서울시 영등포구 여의도동 41,대교아파트 1동 1110호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,송영희,611128-1******,서울시 강북구 수유동 993-72,2018-06-08,7,증여,2011년06월26일,173580000,송영희,주식회사등본은행,,,,,173580000,1,5,세입자 가능성,N,,,,
131,서울시 영등포구 여의도동 41,대교아파트 1동 1111호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,이기태,010223-4******,"서울시 영등포구 여의도동 41, 101동 1111호",2010-11-28,14,매매,2024년06월28일,521240000,이기태,주식회사신한은행,,,,,521240000,1,4,실거주 추정,N,,,,
132,서울시 영등포구 여의도동 41,대교아파트 1동 1112호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조지민,560309-2******,"서울시 영등포구 여의도동 41, 101동 1112호",2020-03-08,5,매매,2017년06월06일,1065450000,조지민,주식회사명동은행,,,,,1065450000,1,4,실거주 추정,N,,,,
133,서울시 영등포구 여의도동 41,대교아파트 1동 1201호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,류수빈,650718-2******,"서울시 영등포구 여의도동 41, 101동 1201호",2017-09-14,8,매매,2014년04월27일,1459410000,류수빈,주식회사하나은행,,,,,1459410000,1,0,실거주 추정,N,,,,
134,서울시 영등포구 여의도동 41,대교아파트 1동 1202호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍상훈,670111-1******,서울시 양천구 염창동 796-57,2008-05-25,17,상속,,0,홍상훈,,,,,,0,,5,세입자 가능성,N,,,,
135,서울시 영등포구 여의도동 41,대교아파트 1동 1203호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서영희,650828-1******,서울시 구로구 개봉동 854-91,2014-08-09,11,상속,2021년02월23일,431090000,서영희,KB국민은행,,,,,431090000,1,0,세입자 가능성,N,,,,
136,서울시 영등포구 여의도동 41,대교아파트 1동 1204호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,서상훈,861108-2******,"서울시 영등포구 여의도동 41, 101동 1204호",2011-09-04,14,증여,2014년09월13일,115820000,서상훈,주식회사등본은행,,,,,115820000,1,3,실거주 추정,N,,,,
137,서울시 영등포구 여의도동 41,대교아파트 1동 1205호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,황동현,051121-3******,"서울시 영등포구 여의도동 41, 101동 1205호",2022-01-19,3,증여,2017년04월11일,754260000,황동현,KB국민은행,,,,,754260000,1,2,실거주 추정,N,,,,
138,서울시 영등포구 여의도동 41,대교아파트 1동 1206호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신지민,050122-4******,"서울시 영등포구 여의도동 41, 101동 1206호",2024-01-16,1,증여,,0,신지민,,,,,,0,,4,실거주 추정,N,,,,
139,서울시 영등포구 여의도동 41,대교아파트 1동 1207호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,권미나,021203-3******,서울시 종로구 사직동 809-76,2014-11-10,10,상속,2017년10월24일,906750000,권미나,주식회사한솔은행,,,,,906750000,1,1,세입자 가능성,N,,,,
140,서울시 영등포구 여의도동 41,대교아파트 1동 1208호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,윤지우,050420-4******,"서울시 영등포구 여의도동 41, 101동 1208호",2022-05-17,3,상속,,0,윤지우,,,,,,0,,5,실거주 추정,N,,,,
141,서울시 영등포구 여의도동 41,대교아파트 1동 1209호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,신철수,761226-2******,"서울시 영등포구 여의도동 41, 101동 1209호",2013-02-27,12,상속,2017년07월14일,1282000000,신철수,주식회사우리은행,,,,,1282000000,1,0,실거주 추정,N,,,,
142,서울시 영등포구 여의도동 41,대교아파트 1동 1210호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,임미경,020117-3******,서울시 관악구 신림동 442-16,2020-05-23,5,증여,,0,임미경,,,,,,0,,2,세입자 가능성,N,,,,
143,서울시 영등포구 여의도동 41,대교아파트 1동 1211호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,조혜진,000811-4******,"서울시 영등포구 여의도동 41, 101동 1211호",2023-05-09,2,매매,2014년06월25일,380340000,조혜진,주식회사통합은행,,,,,380340000,1,2,실거주 추정,N,,,,
144,서울시 영등포구 여의도동 41,대교아파트 1동 1212호,1975-10-25,50,151.74,31699,9589분의 25.9,85.7,홍미경,050815-3******,"서울시 영등포구 여의도동 41, 101동 1212호",2019-01-20,6,상속,2023년08월25일,411990000,홍미경,주식회사국민은행,,,,,411990000,1,5,실거주 추정,N,,,,
145,서울시 영등포구 여의도동 41,대교아파트 2동 101호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,김영희,601027-1******,"서울시 영등포구 여의도동 41, 102동 101호",2014-05-22,11,증여,,0,김영희,,,,,,0,,4,실거주 추정,N,,,,
146,서울시 영등포구 여의도동 41,대교아파트 2동 102호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한동현,000221-4******,서울시 도봉구 방학동 263-87,2021-01-24,4,상속,,0,한동현,,,,,,0,,2,세입자 가능성,N,,,,
147,서울시 영등포구 여의도동 41,대교아파트 2동 103호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,임영만,900513-2******,"서울시 영등포구 여의도동 41, 102동 103호",2017-01-08,8,상속,,0,임영만,,,,,,0,,2,실거주 추정,N,,,,
148,서울시 영등포구 여의도동 41,대교아파트 2동 104호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,이시우,000105-3******,"서울시 영등포구 여의도동 41, 102동 104호",2014-01-04,11,매매,2024년04월20일,1119800000,이시우,주식회사통합은행,,,,,1119800000,1,2,실거주 추정,N,,,,
149,서울시 영등포구 여의도동 41,대교아파트 2동 105호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,권미경,020324-3******,"서울시 영등포구 여의도동 41, 102동 105호",2009-02-09,16,상속,,0,권미경,,,,,,0,,2,실거주 추정,N,,,,
150,서울시 영등포구 여의도동 41,대교아파트 2동 106호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,이두산,791115-1******,서울시 서초구 방배동 390-70,2007-05-06,18,매매,2022년08월24일,1116560000,이두산,KB국민은행,,,,,1116560000,1,0,세입자 가능성,N,,,,
151,서울시 영등포구 여의도동 41,대교아파트 2동 107호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황현우,760703-2******,"서울시 영등포구 여의도동 41, 102동 107호",2024-03-15,1,증여,2013년02월05일,392270000,황현우,KB국민은행,,,,,392270000,1,4,실거주 추정,N,,,,
152,서울시 영등포구 여의도동 41,대교아파트 2동 108호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강도윤,021224-4******,"서울시 영등포구 여의도동 41, 102동 108호",2008-03-06,17,증여,2020년01월16일,307730000,강도윤,주식회사농협은행,,,,,307730000,1,1,실거주 추정,N,,,,
153,서울시 영등포구 여의도동 41,대교아파트 2동 109호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오은서,020507-3******,서울시 금천구 독산동 389-51,2022-05-19,3,매매,,0,오은서,,,,,,0,,1,세입자 가능성,N,,,,
154,서울시 영등포구 여의도동 41,대교아파트 2동 110호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강두산,020511-3******,서울시 동대문구 회기동 985-25,2022-06-14,3,매매,,0,강두산,,,,,,0,,0,세입자 가능성,N,,,,
155,서울시 영등포구 여의도동 41,대교아파트 2동 111호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강수진,000909-3******,서울시 강서구 염창동 824-41,2017-10-28,7,상속,,0,강수진,,,,,,0,,4,세입자 가능성,N,,,,
156,서울시 영등포구 여의도동 41,대교아파트 2동 112호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,김영수,010408-3******,서울시 서대문구 충정로 413-31,2019-05-15,6,매매,2019년05월28일,350170000,김영수,주식회사농협은행,,,,,350170000,1,0,세입자 가능성,N,,,,
157,서울시 영등포구 여의도동 41,대교아파트 2동 201호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한시우,040325-3******,"서울시 영등포구 여의도동 41, 102동 201호",2017-02-19,8,상속,2014년09월28일,423660000,한시우,주식회사하나은행,,,,,423660000,1,1,실거주 추정,N,,,,
158,서울시 영등포구 여의도동 41,대교아파트 2동 202호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신서준,000809-4******,서울시 용산구 이촌동 542-56,2022-05-04,3,상속,2015년06월03일,339070000,신서준,주식회사신한은행,,,,,339070000,1,4,세입자 가능성,N,,,,
159,서울시 영등포구 여의도동 41,대교아파트 2동 203호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황서연,010110-3******,서울시 강북구 삼양동 702-21,2023-02-23,2,증여,2010년12월17일,2577840000,황서연,주식회사우리은행,,,,,2577840000,1,0,세입자 가능성,N,,,,
160,서울시 영등포구 여의도동 41,대교아파트 2동 204호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한지우,640625-1******,"서울시 영등포구 여의도동 41, 102동 204호",2011-02-03,14,상속,2015년09월13일,936920000,한지우,주식회사우리은행,,,,,936920000,1,4,실거주 추정,N,,,,
161,서울시 영등포구 여의도동 41,대교아파트 2동 205호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신서연,681126-1******,"서울시 영등포구 여의도동 41, 102동 205호",2019-01-01,6,매매,2021년05월30일,914750000,신서연,주식회사한솔은행,,,,,914750000,1,3,실거주 추정,N,,,,
162,서울시 영등포구 여의도동 41,대교아파트 2동 206호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강동현,040220-3******,"서울시 영등포구 여의도동 41, 102동 206호",2021-01-30,4,상속,,0,강동현,,,,,,0,,3,실거주 추정,N,,,,
163,서울시 영등포구 여의도동 41,대교아파트 2동 207호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신상훈,880907-1******,"서울시 영등포구 여의도동 41, 102동 207호",2017-08-29,8,매매,2015년03월02일,1585300000,신상훈,주식회사한솔은행,,,,,1585300000,1,2,실거주 추정,N,,,,
164,서울시 영등포구 여의도동 41,대교아파트 2동 208호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신동현,030809-4******,서울시 중구 황학동 889-40,2016-07-27,9,상속,,0,신동현,,,,,,0,,2,세입자 가능성,N,,,,
165,서울시 영등포구 여의도동 41,대교아파트 2동 209호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,조은서,040116-4******,"서울시 영등포구 여의도동 41, 102동 209호",2008-02-14,17,매매,2011년08월01일,577830000,조은서,주식회사통합은행,,,,,577830000,1,5,실거주 추정,N,,,,
166,서울시 영등포구 여의도동 41,대교아파트 2동 210호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신수진,020208-4******,"서울시 영등포구 여의도동 41, 102동 210호",2023-09-24,2,상속,2010년11월18일,109470000,신수진,주식회사통합은행,,,,,109470000,1,1,실거주 추정,N,,,,
167,서울시 영등포구 여의도동 41,대교아파트 2동 211호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,강도윤,570424-1******,"서울시 영등포구 여의도동 41, 102동 211호",2023-01-07,2,증여,,0,강도윤,,,,,,0,,4,실거주 추정,N,,,,
168,서울시 영등포구 여의도동 41,대교아파트 2동 212호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,오미경,031004-4******,"서울시 영등포구 여의도동 41, 102동 212호",2014-01-19,11,증여,2013년02월20일,899460000,오미경,KB국민은행,,,,,899460000,1,0,실거주 추정,N,,,,
169,서울시 영등포구 여의도동 41,대교아파트 2동 301호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,조기태,861023-2******,"서울시 영등포구 여의도동 41, 102동 301호",2021-10-10,4,상속,,0,조기태,,,,,,0,,0,실거주 추정,N,,,,
170,서울시 영등포구 여의도동 41,대교아파트 2동 302호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,장영희,721003-2******,서울시 관악구 조원동 585-49,2012-06-04,13,매매,2013년06월05일,760410000,장영희,주식회사농협은행,,,,,760410000,1,2,세입자 가능성,N,,,,
171,서울시 영등포구 여의도동 41,대교아파트 2동 303호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한준서,020605-3******,"서울시 영등포구 여의도동 41, 102동 303호",2021-06-22,4,증여,,0,한준서,,,,,,0,,5,실거주 추정,N,,,,
172,서울시 영등포구 여의도동 41,대교아파트 2동 304호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한현우,880811-1******,"서울시 영등포구 여의도동 41, 102동 304호",2023-01-19,2,증여,2020년03월01일,157570000,한현우,주식회사농협은행,,,,,157570000,1,0,실거주 추정,N,,,,
173,서울시 영등포구 여의도동 41,대교아파트 2동 305호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,안동현,020811-4******,"서울시 영등포구 여의도동 41, 102동 305호",2021-03-20,4,매매,2013년11월25일,625800000,안동현,주식회사명동은행,,,,,625800000,1,0,실거주 추정,N,,,,
174,서울시 영등포구 여의도동 41,대교아파트 2동 306호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,신혜진,050623-3******,"서울시 영등포구 여의도동 41, 102동 306호",2014-04-12,11,매매,2011년01월28일,1333600000,신혜진,주식회사국민은행,,,,,1333600000,1,5,실거주 추정,N,,,,
175,서울시 영등포구 여의도동 41,대교아파트 2동 307호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서준서,050524-3******,"서울시 영등포구 여의도동 41, 102동 307호",2023-07-19,2,상속,2011년07월21일,982520000,서준서,주식회사우리은행,,,,,982520000,1,0,실거주 추정,N,,,,
176,서울시 영등포구 여의도동 41,대교아파트 2동 308호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,서유진,771212-1******,서울시 강서구 염창동 688-40,2013-02-05,12,매매,2024년03월20일,802700000,서유진,주식회사통합은행,,,,,802700000,1,1,세입자 가능성,N,,,,
177,서울시 영등포구 여의도동 41,대교아파트 2동 309호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,한서연,741022-1******,"서울시 영등포구 여의도동 41, 102동 309호",2018-05-07,7,증여,2011년01월30일,857680000,한서연,주식회사통합은행,,,,,857680000,1,0,실거주 추정,N,,,,
178,서울시 영등포구 여의도동 41,대교아파트 2동 310호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,류민준,040301-4******,"서울시 영등포구 여의도동 41, 102동 310호",2016-06-19,9,매매,2016년07월22일,741500000,류민준,주식회사명동은행,,,,,741500000,1,0,실거주 추정,N,,,,
179,서울시 영등포구 여의도동 41,대교아파트 2동 311호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,임서준,020725-3******,"서울시 영등포구 여의도동 41, 102동 311호",2009-12-13,15,상속,2016년11월19일,843560000,임서준,KB국민은행,,,,,843560000,1,5,실거주 추정,N,,,,
180,서울시 영등포구 여의도동 41,대교아파트 2동 312호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,황영수,510817-2******,"서울시 영등포구 여의도동 41, 102동 312호",2014-09-30,11,매매,2019년10월01일,563880000,황영수,주식회사통합은행,,,,,563880000,1,1,실거주 추정,N,,,,
181,서울시 영등포구 여의도동 41,대교아파트 2동 401호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,김서연,030617-3******,"서울시 영등포구 여의도동 41, 102동 401호",2009-04-19,16,매매,2016년12월07일,149920000,김서연,KB국민은행,,,,,149920000,1,5,실거주 추정,N,,,,
182,서울시 영등포구 여의도동 41,대교아파트 2동 402호,1975-10-25,50,133.65,31699,9589분의 22.0,72.6,최진혁,000524-3******,"서울시 영등포구 여의도동 41, 102동 402호",2020-05-21,5,증여,,0,최진혁,,,,,,0,,1,실거주 추정,N,,,,
