소유자명,생년월일,동호수,소유자_주소,아파트_소재지,도로명주소,건축물_연면적,거주형태,등기목적_분류,등기원인_년월일,근저당설정여부,근저당금액,보유기간,압류가압류,소유형태,세대유형,공유자수,단독소유자수
 홍길동88,700718,광진구 구의동 1103-2호,중국 항저우시 시후구 원얼시루 890호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1103-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2020-01-04,Y,,2년 6개월,없음,단독소유자,단독세대,0,1
 홍길동89,540702,광진구 구의동 1104호,미국 캘리포니아주 로스앤젤레스시 윌셔대로 1234,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1104호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2018-01-06,Y,340000000,8년 4개월,없음,단독소유자,단독세대,0,1
 홍길동90,790313,광진구 구의동 1105호,중국 청두시 진장구 춘시로 567호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1105호,서울특별시 광진구 천호대로 666,131.28,투자,매매,2024-03-16,Y,460000000,9년 7개월,없음,단독소유자,단독세대,0,1
 홍길동91,901128,광진구 구의동 1106-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1106-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1106-1호,서울특별시 광진구 천호대로 666,42.9,실거주,매매,2020-12-21,Y,,1년 2개월,없음,단독소유자,단독세대,0,1
 홍길동92,920219,광진구 구의동 1106-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1106-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제11층 제1106-2호,서울특별시 광진구 천호대로 666,61.32,실거주,매매,2019-04-02,Y,,4년 8개월,없음,단독소유자,단독세대,0,1
 홍길동93,520309,광진구 구의동 1202-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1202-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1202-1호,서울특별시 광진구 천호대로 666,49.17,실거주,매매,2024-10-03,Y,,3년 7개월,없음,단독소유자,단독세대,0,1
 홍길동94,830110,광진구 구의동 1202-2호,대구광역시 수성구 만촌동 817-20,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1202-2호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2021-05-01,Y,270000000,0년 6개월,없음,단독소유자,단독세대,0,1
 홍길동95,811001,광진구 구의동 1203-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1203-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1203-1호,서울특별시 광진구 천호대로 666,47.68,실거주,매매,2021-12-19,Y,210000000,5년 4개월,없음,단독소유자,단독세대,0,1
 홍길동96,820321,광진구 구의동 1203-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1203-2호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1203-2호,서울특별시 광진구 천호대로 666,47.68,실거주,증여,2021-12-11,Y,240000000,5년 7개월,없음,단독소유자,단독세대,0,1
 홍길동97,570721,광진구 구의동 1204호,경기도 수원시 영통구 영통동 332-49,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1204호,서울특별시 광진구 천호대로 666,47.68,투자,매매,2020-12-06,Y,,8년 10개월,없음,단독소유자,단독세대,0,1
 홍길동98,881125,광진구 구의동 1205호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1205호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1205호,서울특별시 광진구 천호대로 666,131.28,실거주,상속,2019-02-10,Y,,8년 11개월,없음,단독소유자,단독세대,0,1
 홍길동99,700903,광진구 구의동 1206-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1206-1호,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1206-1호,서울특별시 광진구 천호대로 666,42.9,실거주,상속,2016-05-26,Y,,9년 10개월,없음,단독소유자,단독세대,0,1
 홍길동100,690513,광진구 구의동 1206-2호,인천광역시 연수구 동춘동 725-33,서울특별시 광진구 구의동 76-1외 1필지 그랜드파크오피스텔 제12층 제1206-2호,서울특별시 광진구 천호대로 666,61.32,투자,매매,2016-06-03,Y,,3년 10개월,없음,단독소유자,단독세대,0,1
